	shannon	chao1	observed_otus	PD_whole_tree	simpson	simpson_e
16	7.68221663233	314.142857143	312.0	31.5716746105	0.992843538791	0.447864958894
160	4.77257303833	67.0	67.0	18.974520922	0.941158728718	0.253654837991
161	7.07299933309	247.136363636	247.0	21.2795168795	0.988337633341	0.347149349224
162	3.82340773106	49.25	49.0	4.2993242995	0.886649608261	0.180044929287
18	5.00036589068	77.0	77.0	12.2297043175	0.953768025294	0.28090976147
21	7.28578924055	248.8	246.0	22.5646142835	0.990994964438	0.451418611556
27	7.62936285601	320.913043478	315.0	26.1333766035	0.99292361891	0.448619588757
28	7.66031366868	349.487179487	343.0	30.4893614415	0.992564919427	0.392121089511
29	7.17532429181	242.545454545	240.0	22.8770304685	0.990148790347	0.422959901701
30	7.6173947303	313.789473684	309.0	25.3052230775	0.992861722923	0.453365135554
31	5.90115443853	146.461538462	146.0	13.0229471315	0.972614741325	0.250109562584
32	5.65815413608	105.125	105.0	13.2058395715	0.970315497745	0.320834401807
33	7.29704914227	279.4375	276.0	23.9257690725	0.990396898836	0.377293578814
34	6.83381070192	225.769230769	223.0	25.6951476105	0.986255375411	0.326258815118
35	2.83859383492	26.0	26.0	6.9375637045	0.818029689005	0.211361613063
36	5.64086600057	119.0	119.0	14.9655841155	0.965366616356	0.242637607427
37	5.69235159417	103.0	103.0	12.2240251555	0.968633902679	0.309529673541
38	6.72810139986	159.75	159.0	14.3911527675	0.987822795112	0.516482085488
39	7.1316009249	265.076923077	257.0	38.162969392	0.989382696374	0.366481992095
42	7.13453981666	194.2	193.0	35.059772333	0.99088708358	0.5685717844
45	7.24885325118	237.5	233.0	28.6280096955	0.990707864974	0.461879372324
46	5.55393209942	128.5	125.0	13.7571063955	0.964804569323	0.227302233444
5	5.34695902557	76.0	76.0	7.8318914535	0.965059059743	0.376575290765
51	7.33000689857	272.0	270.0	26.3574674895	0.99029732323	0.381719786363
52	7.25345644755	276.8	275.0	27.6631702435	0.98971744176	0.353643864839
53	6.91570182445	207.25	207.0	24.0800091925	0.986270324865	0.351859590774
54	6.37428692909	129.0	129.0	17.2188184705	0.98371624117	0.476053352644
55	5.6267527221	110.0	110.0	17.6972397455	0.95955731081	0.224784980252
56	7.49126887978	314.0	307.0	32.1845046635	0.991480515725	0.382338752555
57	7.2239216033	280.571428571	275.0	22.2611726535	0.989824535805	0.357365872137
58	7.64890562926	308.272727273	305.0	28.7684097095	0.992613527009	0.443877413321
59	6.70012228115	188.615384615	187.0	26.4815872775	0.984814894937	0.352160459919
6	7.17524700918	277.5	273.0	29.1573175305	0.987812916232	0.300564411707
60	7.91969849241	372.866666667	371.0	38.2348651165	0.993294120594	0.401948443518
61	7.13739388118	255.0	248.0	24.0044036145	0.989149887033	0.371632818652
62	6.32918310213	174.0	174.0	24.5987784155	0.980019267312	0.287633417972
63	7.33576219836	250.6	250.0	22.1232066685	0.991119106107	0.450405111016
64	7.9701152351	349.071428571	348.0	33.3567867565	0.994765549061	0.548971277374
66	4.3544714577	47.0	47.0	6.8296234595	0.922800011837	0.275603614081
67	4.86207585986	88.2	84.0	11.8281501635	0.952025408477	0.248147228084
7	7.86791110754	348.714285714	348.0	29.9421005915	0.993575187822	0.447260268295
70	4.67228024037	95.875	89.0	6.4955120895	0.940662162043	0.189355653039
71	7.73066975517	331.555555556	324.0	29.0530678295	0.993493009535	0.4743236938
72	7.25121628313	249.9375	249.0	23.1064323635	0.990583898152	0.426510282285
73	6.85256525639	185.111111111	185.0	19.0191938455	0.988019585884	0.451186858221
74	7.5295843489	307.666666667	304.0	28.7319858465	0.991841925343	0.403216913605
75	6.64208386912	172.5	171.0	20.5095879845	0.985039573872	0.39089482923
77	7.98338125045	417.428571429	412.0	38.1385574295	0.994050073416	0.407935195813
78	6.60526667697	183.0	180.0	20.2900267815	0.983008808507	0.326966802644
79	7.01945242872	245.230769231	241.0	26.349028903	0.988218474824	0.352193585422
8	6.97882943908	189.666666667	185.0	18.7136022615	0.989439521785	0.511852332396
82	4.70897534229	80.75	80.0	5.4866836235	0.941674616032	0.214314920015
83	5.14881447165	68.0	68.0	5.6790097215	0.960390371345	0.371270391878
84	7.13607180206	268.1	259.0	22.9351197615	0.989271493414	0.359882694775
85	7.70376113231	321.25	319.0	28.6434406705	0.993108694904	0.454891518329
86	7.06691336963	237.75	236.0	20.8957001165	0.988408971089	0.365566177783
87	8.36023403101	467.0	462.0	38.7260347745	0.995695649914	0.502863875232
88	6.86509194785	195.545454545	195.0	22.7896205055	0.988313941516	0.438831034021
89	7.70723468414	350.529411765	347.0	33.2817388805	0.992865482142	0.403929801275
9	4.34731018777	74.2	74.0	7.0251098145	0.915049899924	0.159075898691
90	7.24989300059	293.0	287.0	35.135778976	0.988675088863	0.30766868855
92	7.51550401935	305.5	303.0	29.6667307135	0.991984863109	0.411762154275
99	5.81339775952	156.6	156.0	22.0414183045	0.968400743644	0.202860989447
